year,sentence_id,actor,predicate,negotiation_point,predicate_type
1996,181,USA,recommended,the issue be deferred until SBSTA clarifies the tasks envisioned for experts so they do not duplicate the work of other fora,support
1996,182,G-77/CHINA,noted the need to include experts from developing countries,include experts from developing countries,support
1996,182,G-77/CHINA,sought full transparency,full transparency,support
1996,188,IRAN,called for,enhanced data collection at regional and subregional levels,support
1996,188,BURKINA FASO,called for,enhanced data collection at regional and subregional levels,support
1996,192,ICAO,sought expanded research concerning,the impact of aircraft emissions,support
1996,196,RUSSIA,sought clarification of,SBSTA’s relationship to the IPCC concerning the use of its data,other
1996,233,G-77/CHINA,tabled its own draft decision that asks the COP to define funding requirements from the GEF for implementation of the FCCC as follows: agreed full costs incurred by developing country Parties to prepare national communications; agreed incremental costs to implement measures under Article 4,define funding requirements from the GEF for implementation of the FCCC as follows: agreed full costs incurred by developing country Parties to prepare national communications; agreed incremental costs to implement measures under Article 4,support
1996,247,AUSTRALIA,includes submissions by,AIJ,other
1996,259,USA,reported,the AGBM Chair Raúl Estrada-Oyuela (Argentina) recalled,other
1996,259,ARGENTINA,recalled,"Available actors: {'ARGENTINA', 'USA'}",other
1996,296,USA,argued that no single set of policies and measures could apply to all countries,no single set of policies and measures could apply to all countries given their diverging circumstances,support
1996,299,BANGLADESH,reminded,developed countries about their obligations,other
1996,300,AUSTRALIA,cautioned that the potential to limit GHG emissions without seriously undermining economic growth is limited,limit GHG emissions without seriously undermining economic growth,other
1996,300,AUSTRALIA,ruled out,flat emissions,opposition
1996,302,KUWAIT,stressed,an assessment of policies and measures and QELROs based on their economic impact on developing countries,support
1996,303,EUROPEAN UNION,said a draft protocol should be negotiated,a draft protocol should be negotiated at AGBM-6 based on a synthesis of proposals received in time for AGBM-5,support
1996,310,USA,objected,the inclusion of a reference already binding Parties to the inclusion of a list of options or a “menu”,opposition
1996,310,AUSTRALIA,objected,the inclusion of a reference already binding Parties to the inclusion of a list of options or a “menu”,opposition
1996,311,EUROPEAN UNION,support for,the draft protocols submitted by the EU,support
1996,311,AOSIS,support for,the draft protocols submitted by the EU and AOSIS,support
1996,324,EUROPEAN UNION,regretted,substantive discussions were postponed until December,other
1996,327,SAUDI ARABIA,proposal to replace a reference to the possible design of a MCP with one on reporting to the COP as instructed,replace a reference to the possible design of a MCP with one on reporting to the COP,support
1996,336,NEW ZEALAND,stated that a protocol must lead to equitable marginal abatement costs across borders utilizing economic instruments,a protocol must lead to equitable marginal abatement costs across borders utilizing economic instruments,support
1996,337,NORWAY,outlined,a legally-binding commitment that recognizes industry structures,support
1996,340,NIGERIA,stated that the FCCC cannot use the SAR as a basis for action,the FCCC cannot use the SAR as a basis for action,opposition
1996,340,NIGERIA,called for compensation,compensation to African countries for the economic consequences of a protocol,support
1996,341,SAUDI ARABIA,highlighted the need for,an equitable approach,support
1996,341,SAUDI ARABIA,said the SAR should be considered,the SAR,support
1996,343,SYRIA,said more research was needed,appropriate solutions,other
1996,344,KUWAIT,said there are no satisfactory answers to,uncertainties and contradictory data,opposition
1996,346,JORDAN,expressed concern over,the conclusions of the SAR,other
1996,347,VENEZUELA,cautioned against,putting fossil fuels on the “accused” bench,opposition
1996,349,RUSSIA,said the SAR does not yet provide sufficient policy information,SAR does not yet provide sufficient policy information,opposition
1996,350,AUSTRALIA,said it would be premature,establish a particular point at which levels of GHGs become dangerous,opposition
1996,352,SWITZERLAND,said its GHG inventory indicates that carbon dioxide emissions may stabilize at 1990 levels by 2000,carbon dioxide emissions may stabilize at 1990 levels by 2000,other
1996,353,AUSTRIA,stated that it has de-coupled economic growth and an increase of emissions and will meet the stabilization targets in the year 2000,economic growth and an increase of emissions,support
1996,353,AUSTRIA,stated that it has de-coupled economic growth and an increase of emissions and will meet the stabilization targets in the year 2000,stabilization targets in the year 2000,support
1996,354,EUROPEAN UNION,are on course to return,CO2 emissions to 1990 levels by 2000,support
1996,356,MALAYSIA,called it “regrettable”,the AGBM is still exchanging views and is unable to narrow down policies and measures,opposition
1996,358,PERU,said the credibility of Annex I Parties and the principle of equity are in danger,credibility of Annex I Parties and the principle of equity,other
1996,358,BRAZIL,said the credibility of Annex I Parties and the principle of equity are in danger,credibility of Annex I Parties and the principle of equity,other
1996,359,COLOMBIA,stated that,developed countries suffer from the “disease of forgetting”,other
1996,360,ZAMBIA,criticized,some Annex I Parties for saying they are not legally bound to return to 1990 GHG levels,opposition
1996,361,THAILAND,cannot be expected to undertake commitments,commitments in the near future,opposition
1996,362,CUBA,was also noted,the lack of progress by Annex I Parties on financial backing and technology transfer,other
1996,366,GHANA,called for expeditious funding,expeditious funding from the GEF,support
1996,366,GHANA,noted that the GEF’s actions depend on decisions of the COP and not the reverse,GEF’s actions depend on decisions of the COP and not the reverse,other
1996,367,EL SALVADOR,said the COP should define criteria,criteria for use by the GEF,support
1996,368,INDONESIA,sought assistance with,capacity building,support
1996,368,UGANDA,sought assistance with,capacity building,support
1996,372,AOSIS,expressed support for,the AOSIS protocol,support
1996,374,KIRIBATI,stressed,the coral atolls that comprise his nation are three meters above sea level,other
1996,375,MALDIVES,described itself as a “front line” State for climate change,climate change,other
1996,375,MARSHALL ISLANDS,drew attention to regional studies on sea level rises,regional studies on sea level rises,other
1996,379,BULGARIA,said,the first national communication utilizes 1988 rather than 1990 base year data,other
1996,380,POLAND,said reduced emission levels in countries with economies in transition helped to offset slight increases by OECD country Parties,reduced emission levels in countries with economies in transition helped to offset slight increases by OECD country Parties,other
1996,381,ROMANIA,Available,actors,other
1996,382,ARMENIA,expressed caution about,adoption of a protocol including firm base years for GHG reductions,other
1996,383,CZECH REPUBLIC,said that emissions in his country have decreased more than 20% since 1990 due to extreme economic changes,emissions in his country have decreased more than 20% since 1990 due to extreme economic changes,other
1996,384,SLOVENIA,stressed the importance of,appropriate technology,support
1996,387,TANZANIA,noted that technology transfer and capacity building should not be left to AIJ,technology transfer and capacity building should not be left to AIJ,other
1996,388,INDONESIA,welcomed,AIJ on a voluntary basis,support
1996,390,GERMANY,supported,international cooperation that recognizes Parties’ “common but differentiated” responsibilities,support
1996,391,JAPAN,proposed,creation of a foundation for global measures,support
1996,393,SUDAN,encouraged,international cooperation to revive traditional means of transportation and enhanced energy efficiency,support
1996,393,TURKMENISTAN,encouraged,international cooperation to revive traditional means of transportation and enhanced energy efficiency,support
1996,394,SOUTH KOREA,said the new SAR findings demand unity in tackling climate change,unity in tackling climate change,support
1996,396,SWEDEN,supported,coordinated measures in taxation,support
1996,396,DENMARK,supported,coordinated measures in taxation,support
1996,397,MOLDOVA,suggested,taxes on oil imports,support
1996,397,MOLDOVA,suggested,excessive emissions,support
1996,397,MOLDOVA,suggested,credits for technology transfer,support
1996,398,FINLAND,said international coordination is needed,economic instruments,support
1996,399,UK,called for removing,subsidies on the use of fossil fuels,support
1996,400,NETHERLANDS,reported,the Climate Technology Initiative (CTI),other
1996,400,OECD,reported on behalf of,the Climate Technology Initiative (CTI),other
1996,402,CANADA,highlighted,the participation of industry and NGOs in an open and transparent process,other
1996,403,ICELAND,underlined the need,additional efforts to fulfill the Berlin Mandate,support
1996,404,BELGIUM,emphasized the link between,FCCC negotiations and those at the CSD,other
1996,404,BELGIUM,said,the Special Session of the General Assembly will be the “moment of truth”,other
1996,406,BOTSWANA,stated that national communications are not useful in the long run if the data is not comparable,national communications are not useful in the long run if the data is not comparable,other
1996,408,ZIMBABWE,appealed to Parties to conclude,issues blocking implementation,support
1996,409,ARGENTINA,called for,a substantive and binding Ministerial Declaration,support
1996,422,Oil exporting countries,voiced concern about,adverse economic impacts of Annex I Party commitments,opposition
1996,422,Oil exporting countries,called for,re-evaluation and development of new uses for petroleum products,support
1996,429,AUSTRALIA,had difficulty with,the aspect of the text committing Parties to legally binding targets in a final legal instrument without the nature and context being clear,opposition
1996,430,USA,endorsed,the Declaration,support
1996,430,USA,said,the negotiated outcome must ensure maximum national flexibility for all Parties to implement their medium-term legally binding commitments,other
1996,432,NEW ZEALAND,had difficulty with,a reference concerning targets in the Declaration,opposition
1996,432,NEW ZEALAND,can only be advanced on the basis of,a least cost approach,support
1996,435,EUROPEAN UNION,fully and unequivocally supported,the Ministerial Declaration,support
1996,435,GHANA,said the FCCC is,a matter of life and death,other
1996,438,SAUDI ARABIA,asked to have his statement annexed to the report,his statement annexed to the report,support
1996,441,SWITZERLAND,look forward to COP-3 in Kyoto,COP-3 in Kyoto,other
1996,442,JAPAN,Available,Japan’s Minister of State and Director General of the Environment Agency,other
1996,446,HUGARY,reported on,the SBSTA’s discussion on the IPCC SAR,other
1996,470,UK,said,the first session of this Group dealt with a questionnaire sent to Parties,other
1996,487,MARSHALL ISLANDS,pointed out,a majority of delegations supported the stronger interpretation of the SAR,other
1996,489,EUROPEAN UNION,called,the SAR the most authoritative assessment on the science of climate change,other
1996,490,SAUDI ARABIA,disagreed with,this assessment,opposition
1996,496,G-77/CHINA,emphasized that this is the only document accepted by the COP on guidance to the GEF,this is the only document accepted by the COP on guidance to the GEF,support
1996,509,VENEZUELA,did not support,the draft Declaration,opposition
1996,511,RUSSIA,asked that its prepared statement be reflected in the report of the session,its prepared statement be reflected in the report of the session,support
1996,512,KUWAIT,proposed inserting,a footnote stating that several countries have objected,support
1996,513,AOSIS,accepted,the Declaration as a statement of determination to give force and direction to the Berlin Mandate,support
1996,514,ARGENTINA,objected,many of the delegates who spoke were not ministers,opposition
1996,516,GERMANY,proposed referring to the declaration as the “Geneva Declaration”,referring to the declaration as the “Geneva Declaration”,support
1996,518,SAUDI ARABIA,proposed,their statements on the Ministerial Declaration be annexed to the report,support
1996,518,RUSSIA,proposed,their statements on the Ministerial Declaration be annexed to the report,support
1996,521,SAUDI ARABIA,requested that its objection to the rules of procedure be noted,the rules of procedure,support
1996,522,JAMAICA,stressed the need for,transparency in the consultative process on the rules of procedure,support
1996,530,SWITZERLAND,commended,organizing the “cybercafe”,support
1996,571,USA,support,a legally binding agreement,support
1996,573,AOSIS,noted,this could leave the AOSIS protocol,other
1996,575,delegates,expressed concern about,“creative” implementation,opposition
1996,579,CANADA,believes the absence of rules of procedure means,a protocol — the preferred route for realizing the Berlin Mandate — can only be adopted by consensus,other
1996,616,UK,will be held,A Workshop on the Preparation of Regional Climate Projections for Impact,other
1996,638,USA,is sponsoring,Landfill Gas-to-Energy Training Workshops,support
1996,645,NETHERLANDS,At the initiative of,Conference on AIJ,other
1997,23,UK,provides,General support for the Bulletin during 1997,support
1997,24,NORWAY,has been provided by,Specific funding for coverage of this meeting,support
1997,25,FRANCE,support from,the French version,support
1997,52,UK,prepared by,draft “Proposed Outcome of the Special Session”,other
1997,53,BRAZIL,after feedback from delegates on a first draft,a first draft,other
1997,62,WEOG,elected,Monika Linn-Locher (Switzerland) as Vice-Chair,other
1997,62,SWITZERLAND,elected,Monika Linn-Locher (Switzerland) as Vice-Chair,other
1997,74,FINLAND,stated that ODA should be channeled to the poorest countries and used to improve the enabling environment for private sector operations,ODA should be channeled to the poorest countries and used to improve the enabling environment for private sector operations,support
1997,75,USA,said the CSD should make clear to the private sector that investment must aim for sustainable development while encouraging sustainable capital investment,investment must aim for sustainable development while encouraging sustainable capital investment,support
1997,76,JAPAN,stated that developing countries should bear the primary responsibility for their own development with the assistance of developed countries,developing countries should bear the primary responsibility for their own development with the assistance of developed countries,support
1997,77,MALAYSIA,proposed adding,globalization as a cross-cutting issue for annual CSD consideration,support
1997,78,PANAMA,called for consideration of,globalization in any CSD examination of progress in implementing Agenda 21,support
1997,79,NORWAY,said social and environmental concerns must be taken into account,social and environmental concerns must be taken into account by the global trading system,support
1997,80,EGYPT,noted,developing countries’ concern that environmental protection not be used as a guise for protectionism,other
1997,81,CUBA,said there would be no equity in,privatization and pursuit of the perfect market,opposition
1997,83,USA,said the CSD should lead an effort within the UN system to develop a programme of action for sustainable energy use,a programme of action for sustainable energy use,support
1997,84,NORWAY,called for increased use of renewable energy sources,increased use of renewable energy sources,support
1997,84,ICELAND,called for increased use of renewable energy sources,increased use of renewable energy sources,support
1997,85,SWITZERLAND,proposed,an intergovernmental panel on energy,support
1997,85,DENMARK,proposed,an intergovernmental panel on energy,support
1997,92,EUROPEAN UNION,called for,a new initiative on eco-efficiency to address unsustainable production and consumption patterns,support
1997,94,AOSIS,called on the international community to actively support,the Barbados Programme of Action for Small Island Developing States (SIDS),support
1997,99,CANADA,said the CSD should recommend launching negotiations this year,launching negotiations this year,support
1997,101,MALAYSIA,supported seeking consensus on,a time-bound schedule leading to an equitable and comprehensive global forest convention,support
1997,102,RUSSIA,favored,a convention,support
1997,104,INDIA,emphasized,countries’ sovereignty over their resources,other
1997,108,YOUTH,highlighted,local environmental initiatives,other
1997,108,YOUTH,highlighted,youth NGO networks,other
1997,108,YOUTH,highlighted,educational seminars,other
1997,108,YOUTH,highlighted,local fund-raising drives,other
1997,108,YOUTH,highlighted,scientific research projects,other
1997,108,YOUTH,highlighted,a children’s version of Agenda 21,other
1997,131,They,called for,coordination with the Convention on Biological Diversity (CBD) and the Center for Human Rights during review of the Trade-Related Intellectual Property (TRIPs) agreement,support
1997,131,They,called for,establishment of a CSD body to examine mining issues,support
1997,131,They,called for,examination of the effect of globalization on indigenous peoples,support
1997,131,They,called for,conclusion of a biosafety protocol,support
1997,177,EUROPEAN UNION,called for,national and international environmental and social policies to ensure that globalization trends have a positive impact on sustainable development,support
1997,178,CANADA,added,many developing countries still require international assistance for sustainable development,other
1997,179,BELARUS,highlighted the need for,international support to help economies in transition become integrated in the world economy,support
1997,189,G-77/CHINA,added,the insufficiency of GEF replenishment,support
1997,198,USA,objected,a G-77/CHINA-proposed reference to the principle of common but differentiated responsibilities,opposition
1997,198,NORWAY,objected,a G-77/CHINA-proposed reference to the principle of common but differentiated responsibilities,opposition
1997,202,G-77/CHINA,noting that,sustained economic growth is essential to the economic and social,other
1997,204,SWITZERLAND,proposed,text on labor rights,support
1997,206,EUROPEAN UNION,objected to,a G-77/CHINA amendment that globalization has tilted the balance of responsibility for development toward the international level,opposition
1997,206,G-77/CHINA,amendment,globalization has tilted the balance of responsibility for development toward the international level,support
1997,209,USA,withdrew,an amendment referring to implementation of the “relevant portions” of the Beijing Platform for Action,other
1997,213,USA,encourage changes in consumption patterns,changes in consumption patterns,support
1997,213,CANADA,encourage consumer awareness,consumer awareness,support
1997,213,NORWAY,reduce damaging subsidies,damaging subsidies,support
1997,214,G-77/CHINA,objected to,a CANADIAN amendment to address consumption patterns in “rapidly industrializing countries”,opposition
1997,214,CANADA,amendment,to address consumption patterns in “rapidly industrializing countries”,support
1997,215,G-77/CHINA,deleted,references to timetables and targets,support
1997,215,USA,deleted,references to timetables and targets,support
1997,219,G-77/CHINA,introduced concerns about,discriminatory trade practices,other
1997,226,ARGENTINA,preferred,the original text on family and maternal health care,support
1997,226,MALTA,preferred,the original text on family and maternal health care,support
1997,229,G-77/CHINA,bracketed,US text on the effects of lead poisoning on children and on tobacco awareness strategies,other
1997,232,G-77/CHINA,proposed,the need for international cooperation and support of national efforts,support
1997,238,EUROPEAN UNION,proposal for a freshwater initiative,a freshwater initiative,support
1997,240,G-77/CHINA,said the EU proposal should: mention the means of implementation before mentioning results; include a,mention the means of implementation before mentioning results,support
1997,240,G-77/CHINA,said the EU proposal should: mention the means of implementation before mentioning results; include a,include a,support
1997,242,EGYPT,said that “customary use” carried a specific legal implication and “sustainable customary use” was an unknown term,“sustainable customary use”,other
1997,242,EGYPT,said that “customary use” carried a specific legal implication and “sustainable customary use” was an unknown term,“customary use”,other
1997,243,USA,noted that,not all customary uses are sustainable and those that are should be distinguished,other
1997,249,G-77/CHINA,should be seen in the context of its social and economic implications,economic valuation of water,other
1997,251,USA,must include programmes to minimize wasteful consumption,programmes to minimize wasteful consumption,support
1997,259,G-77/CHINA,preferred,the fair access language,support
1997,260,EUROPEAN UNION,proposals by,the EU and CANADA,support
1997,260,CANADA,proposals by,the EU and CANADA,support
1997,263,G-77/CHINA,noted the need to,increase developing countries’ fleet capacity,other
1997,264,CANADA,accepted,subparagraph stating that governments should consider the positive and negative impact of subsidies,support
1997,265,G-77/CHINA,are opposed to,phasing out subsidies in developing countries,opposition
1997,265,CHINA,are opposed to,phasing out subsidies in developing countries,opposition
1997,269,G-77/CHINA,added a call for assistance to developing countries,assistance to developing countries,support
1997,278,G-77/CHINA,proposal,establish an Intergovernmental Forum on Forests to promote and monitor implementation of the IPF action proposals,support
1997,284,EUROPEAN UNION,proposal for a high-level CSD forum on environment and energy to prepare an upcoming CSD session dedicated to establishing a common strategy for a sustainable energy future,a high-level CSD forum on environment and energy to prepare an upcoming CSD session dedicated to establishing a common strategy for a sustainable energy future,support
1997,284,USA,was not supported,a high-level CSD forum on environment and energy to prepare an upcoming CSD session dedicated to establishing a common strategy for a sustainable energy future,opposition
1997,289,G-77/CHINA,proposed,a subparagraph was added on further research,support
1997,290,G-77/CHINA,opposed,insertion of “cleaner and more efficient” technology,opposition
1997,290,USA,insertion of,“cleaner and more efficient” technology,support
1997,292,CANADA,deleted,nuclear energy,support
1997,292,CANADA,added,movement towards energy pricing that reflects full economic and environmental costs,support
1997,293,JAPAN,preferred,“reduction” rather than elimination of subsidies,support
1997,294,G-77/CHINA,preferred deleting,the entire subparagraph,support
1997,299,EUROPEAN UNION,proposal for,an international tax on aviation fuel,support
1997,300,G-77/CHINA,must be accompanied by technical and economic assistance to developing countries,accelerated phase-out of leaded gasoline,opposition
1997,305,USA,are inadequate,FCCC commitments,opposition
1997,307,USA,proposed language noting that,UNGASS should recommend that the FCCC accelerate negotiations,support
1997,309,AOSIS,underscored,protocol (20% reduction below 1990 levels by 2005),support
1997,310,JAPAN,called for,agreement on quantified objectives for emission reductions,support
1997,310,JAPAN,called for,agreement to elaborate on policies and measures,support
1997,314,EUROPEAN UNION,proposed,a specific reference to methyl bromide and earlier phase-out in developing countries,support
1997,315,G-77/CHINA,said the prioritization of issues should be left to the COP,prioritization of issues should be left to the COP,support
1997,315,G-77/CHINA,noted the failure to include language on providing resources,language on providing resources,other
1997,316,EUROPEAN UNION,accepted,an EU reformulation mentioning that the Multilateral Fund was recently replenished to provide funds,support
1997,339,EUROPEAN UNION,added action,secure land tenure and access to land,support
1997,340,G-77/CHINA,opposed,NORWAY’s call for measures to improve food security for the urban poor,opposition
1997,340,CHINA,opposed,NORWAY’s call for measures to improve food security for the urban poor,opposition
1997,341,NORWAY,remain around references to,sustainable food security among both urban and rural poor should be a policy priority,other
1997,341,G-77/CHINA,remain around references to,developed countries and the international community should provide adequate resources and technical assistance to developing countries to this end,other
1997,346,G-77/CHINA,called for,the global mechanism to “have the capacity to increase the effectiveness and efficiency of and ensure new and additional financial resources,support
1997,348,G-77/CHINA,calling for the transfer of,environmentally sound technologies,support
1997,352,USA,agreed,it was stated in a separate subparagraph,support
1997,354,SWITZERLAND,call for the elaboration of national biodiversity action plans by 2002,elaboration of national biodiversity action plans by 2002,support
1997,359,G-77/CHINA,accepted,revised G-77/CHINA text acknowledging the need for further work,support
1997,361,UKRAINE,agreed to add,a separate paragraph using UKRAINE’s text,support
1997,363,PHILIPPINES,bracketed,technological and man-made disasters,other
1997,366,G-77/CHINA,stressed the need to,fulfill all financial commitments in Agenda 21,support
1997,367,EUROPEAN UNION,stressed the importance of,national legal and financial systems,support
1997,367,USA,stressed the importance of,national legal and financial systems,support
1997,368,EUROPEAN UNION,called for,“satisfactory” replenishment of GEF resources,support
1997,372,G-77/CHINA,expressed concern about,the late addition of the new proposal,opposition
1997,373,MALAYSIA,offered,a similar proposal,support
1997,377,EUROPEAN UNION,supported,the paragraph,support
1997,377,USA,supported,the paragraph,support
1997,378,EUROPEAN UNION,calls for,the urgent fulfillment of all financial commitments of Agenda 21,support
1997,386,G-77/CHINA,called for,fulfillment of all commitments in Chapter 34 of Agenda 21,support
1997,387,G-77/CHINA,said the market approach cannot be relied on,that such technologies will become widely available,opposition
1997,388,G-77/CHINA,noted the contribution that the creation of centers for transfer of technology at various levels,the creation of centers for transfer of technology at various levels,support
1997,389,NORWAY,proposal calling for support to cleaner production programmes in public and private companies,cleaner production programmes in public and private companies,support
1997,392,USA,calling on both developed and developing countries to strengthen efforts for sharing environmental expertise and data,strengthen efforts for sharing environmental expertise and data,support
1997,394,CANADA,call for,full and equal participation of girls and women in this regard,support
1997,398,G-77/CHINA,was not prepared to discuss,the compilation text,opposition
1997,399,MEXICO,calls for,progressive development and codification of international law on sustainable development,support
1997,400,EUROPEAN UNION,calls for,judicial and administrative channels to seek redress from decisions that are socially and environmentally harmful or violate human rights,support
1997,403,G-77/CHINA,was not prepared to discuss,the compilation text,opposition
1997,404,CANADA,calls for,gender-disaggregated data,support
1997,404,JAPAN,calls for,collaboration on high-tech info-communications infrastructure,support
1997,404,NORWAY,calls for,environmental impact assessments,support
1997,436,EUROPEAN UNION,said the timing of major group dialogues did not allow sufficient input to the negotiations,timing of major group dialogues,opposition
1997,436,EUROPEAN UNION,suggested that future major group dialogues address the CSD’s thematic issue at an earlier stage,future major group dialogues address the CSD’s thematic issue at an earlier stage,support
1997,441,USA,introduced,an intergovernmental process on financial issues,support
1997,441,NORWAY,introduced,an intergovernmental process on financial issues,support
1997,441,MALAYSIA,introduced,an intergovernmental process on financial issues,support
1997,441,BANGLADESH,introduced,micro-credit,support
1997,441,AUSTRALIA,introduced,NGO dialogue with the WTO’s Committee on Trade and Environment,support
1997,452,POLAND,presented,the draft report of CSD-5,other
1997,459,EUROPEAN UNION,supported,Tolba’s anticipated procedure,support
1997,459,EUROPEAN UNION,said the draft is proceeding in a positive and balanced way,the draft,other
1997,461,G-77/CHINA,said the Chair’s draft contents have been very different from their inputs and expressed frustration with the drafting process,Chair’s draft contents,opposition
1997,484,EUROPEAN UNION,distinguished between,UNCED “commitments” and “objectives”,other
1997,505,industrialized countries,questioned the validity of,a reference to the widening gap between developed and developing countries,opposition
1997,505,industrialized countries,would concede only to,single out the least developed countries,support
1997,567,CANADA,will host,this conference,support
1997,583,GERMANY,will immediately allocate,the completion of decisions of the Berlin Mandate process to a sessional Committee of the Whole,support
1998,8,UK,is provided by,General Support for the Bulletin during 1998,support
1998,9,GERMANY,provides,ENB coverage of COP-4,support
1998,33,GERMANY,establish,an open-ended Ad Hoc Group on the Berlin Mandate (AGBM) to begin a process toward appropriate action for the period beyond 2000,support
1998,49,EUROPEAN UNION,proposal,"a 15% cut in a ""basket"" of three greenhouse gases by the year 2010 compared to 1990 levels",support
1998,68,ARGENTINA,was not one of the countries that has,historic responsibilities for the climate change problem,other
1998,78,MAURITANIA,noted,no objections were raised to the proposed agenda changes during informal consultations on 1 November,other
1998,85,INDONESIA,request,a moment of silence for the recent tragedies,support
1998,96,ARGENTINA,noted,no consensus had emerged despite its efforts to encourage consultations,other
1998,99,INDIA,recalled,the debate at Kyoto rejected the idea of voluntary commitments,other
1998,101,BRAZIL,described,the FCCC,other
1998,103,IRAN,noted that neither the FCCC nor the Kyoto Protocol provides for voluntary commitments and cautioned that the discussion could lead to the imposition of commitments on developing countries,voluntary commitments,other
1998,103,IRAN,noted that neither the FCCC nor the Kyoto Protocol provides for voluntary commitments and cautioned that the discussion could lead to the imposition of commitments on developing countries,imposition of commitments on developing countries,opposition
1998,104,CHINA,noted,developed country emissions were projected to be 5% above 1990 levels by 2000 and 13% above 1990 levels by 2010,other
1998,106,G-77/CHINA,could destroy the unity of,voluntary commitments,opposition
1998,112,COLOMBIA,suggested,the vulnerability of developing nations,support
1998,113,CHILE,favored,an exchange of views on voluntary cooperation,support
