year,sentence_id,actor,predicate,negotiation_point,predicate_type
1996,155,MALAYSIA,suggested postponing,AIJ workshops until after COP-3 to avoid basing decisions on incomplete information,support
1996,156,IRAN,said,the cost-effectiveness of AIJ projects should be considered,support
1996,156,IRAN,noted,some projects have been financed with GEF funds,other
1996,160,EUROPEAN UNION,said,priority should be given to identifying technology needs,support
1996,161,IRAN,called for,the establishment of an information center/clearinghouse for technology transfer,support
1996,161,USA,called for,the establishment of an information center/clearinghouse for technology transfer,support
1996,162,CANADA,called for,the creation of an environment enabling input from the private sector,support
1996,163,NETHERLANDS,described,the Climate Technology Institute,other
1996,168,EUROPEAN UNION,Available,The EU,other
1996,170,USA,said,expanding access to only one type of NGO would be inappropriate,opposition
1996,170,USA,suggested,existing consultative channels for all NGOs be strengthened,support
1996,171,USA,supported,the US position,support
1996,173,NEW ZEALAND,take the lead in forming a contact group on the issue,take the lead in forming a contact group on the issue,support
1996,174,NEW ZEALAND,presented,the draft results of the group,support
1996,180,KIRIBATI,called for,the inclusion of an expert on fisheries,support
1996,181,USA,recommended,the issue be deferred until SBSTA clarifies the tasks envisioned for experts so they do not duplicate the work of other fora,support
1996,182,G-77/CHINA,noted the need to include experts from developing countries and sought,full transparency,support
1996,188,IRAN,called for,enhanced data collection at regional and subregional levels,support
1996,188,BURKINA FASO,called for,enhanced data collection at regional and subregional levels,support
1996,189,CANADA,Available,,other
1996,196,RUSSIA,sought clarification,SBSTA’s relationship to the IPCC concerning the use of its data,support
1996,233,G-77/CHINA,tabled its own draft decision that asks the COP to define funding requirements from the GEF for implementation of the FCCC as follows:,agreed full costs incurred by developing country Parties to prepare national communications; agreed incremental costs to implement measures under Article 4.,support
1996,247,AUSTRALIA,includes submissions by,submissions by Australia,support
1996,252,USA,13,US$13,other
1996,259,USA,reported,that the AGBM Chair Raúl Estrada-Oyuela (Argentina) recalled,other
1996,259,ARGENTINA,recalled,Available actors,other
1996,262,THAILAND,was chaired by,This round table on policies and measures,other
1996,283,USA,was chaired by,This informal round table on quantified emission limitation and reduction objectives (QELROs),other
1996,296,USA,argued that,no single set of policies and measures could apply to all countries given their diverging circumstances,support
1996,297,EUROPEAN UNION,Available,The EU,other
1996,299,BANGLADESH,reminded,developed countries about their obligations,other
1996,300,AUSTRALIA,cautioned that the potential to limit GHG emissions without seriously undermining economic growth is limited and ruled out flat emissions as neither environmentally nor cost effective,limit GHG emissions without seriously undermining economic growth,opposition
1996,302,KUWAIT,stressed,an assessment of policies and measures and QELROs based on their economic impact on developing countries,support
1996,303,EUROPEAN UNION,said,a draft protocol should be negotiated at AGBM-6 based on a synthesis of proposals received in time for AGBM-5,support
1996,305,ARGENTINA,Available,Estrada-Oyuela,other
1996,310,USA,objected to,the inclusion of a reference already binding Parties to the inclusion of a list of options or a “menu” in the Chair’s draft conclusions,opposition
1996,310,AUSTRALIA,objected to,the inclusion of a reference already binding Parties to the inclusion of a list of options or a “menu” in the Chair’s draft conclusions,opposition
1996,311,EUROPEAN UNION,support for,the draft protocols submitted by the EU,support
1996,311,AOSIS,support for,the draft protocols submitted by the EU,support
1996,317,UK,convened,a Panel Presentation and Discussion on MCPs,other
1996,324,EUROPEAN UNION,regretted,substantive discussions were postponed until December,other
1996,327,SAUDI ARABIA,proposal,replace a reference to the possible design of a MCP with one on reporting to the COP as instructed,support
1996,334,EUROPEAN UNION,Available,The EU,other
1996,336,NEW ZEALAND,stated that,a protocol must lead to equitable marginal abatement costs across borders utilizing economic instruments,support
1996,337,NORWAY,outlined,a legally-binding commitment that recognizes industry structures,support
1996,340,NIGERIA,stated that the FCCC cannot use the SAR as a basis for action,the FCCC cannot use the SAR as a basis for action,support
1996,340,NIGERIA,called for compensation to African countries for the economic consequences of a protocol,compensation to African countries for the economic consequences of a protocol,support
1996,341,SAUDI ARABIA,highlighted the need for an equitable approach and said,the SAR should be considered by the COP in making balanced decisions,support
1996,343,SYRIA,said,more research was needed in order to find the appropriate solutions,other
1996,344,KUWAIT,said,there are no satisfactory answers to uncertainties and contradictory data,other
1996,346,JORDAN,expressed concern over,the conclusions of the SAR,other
1996,347,VENEZUELA,cautioned against putting,fossil fuels on the “accused” bench,opposition
1996,349,RUSSIA,said,the SAR does not yet provide sufficient policy information,other
1996,350,AUSTRALIA,said it would be premature to establish,a particular point at which levels of GHGs become dangerous,support
1996,352,SWITZERLAND,said,its GHG inventory indicates that carbon dioxide emissions may stabilize at 1990 levels by 2000,support
1996,353,AUSTRIA,stated that it has de-coupled economic growth and an increase of emissions and will meet the stabilization targets in the year 2000,de-coupled economic growth and an increase of emissions and will meet the stabilization targets in the year 2000,support
1996,354,EUROPEAN UNION,said,its members are on course to return CO2 emissions to 1990 levels by 2000,other
1996,356,MALAYSIA,called it,the AGBM is still exchanging views and is unable to narrow down policies and measures,opposition
1996,358,PERU,said,the credibility of Annex I Parties and the principle of equity are in danger,support
1996,358,BRAZIL,said,the credibility of Annex I Parties and the principle of equity are in danger,support
1996,359,COLOMBIA,stated that,developed countries suffer from the “disease of forgetting”,other
1996,361,THAILAND,said,developing countries cannot be expected to undertake commitments in the near future,support
1996,362,CUBA,noted,the lack of progress by Annex I Parties on financial backing and technology transfer,other
1996,364,COSTA RICA,Available,,other
1996,366,GHANA,called for,expeditious funding from the GEF,support
1996,367,EL SALVADOR,said the COP should define,criteria for use by the GEF,support
1996,368,INDONESIA,sought assistance with,capacity building,support
1996,368,UGANDA,sought assistance with,capacity building,support
1996,370,BURKINA FASO,Available,BURKINA FASO,other
1996,371,GUATEMALA,Available,,other
1996,372,SIDS,pointed out,the potentially devastating consequences of climate change for their countries,other
1996,372,SIDS,expressed support for,the AOSIS protocol,support
1996,374,KIRIBATI,stressed,the coral atolls that comprise his nation are three meters above sea level,support
1996,375,MALDIVES,described itself as,"""front line"" State for climate change",other
1996,375,MARSHALL ISLANDS,drew attention to,regional studies on sea level rises that correlate closely with SAR findings,support
1996,379,BULGARIA,said,the first national communication utilizes 1988 rather than 1990 base year data,other
1996,380,POLAND,said,reduced emission levels in countries with economies in transition helped to offset slight increases by OECD country Parties,other
1996,381,ROMANIA,Available,,other
1996,382,ARMENIA,expressed caution about,the adoption of a protocol including firm base years for GHG reductions,opposition
1996,383,CZECH REPUBLIC,said that emissions in his country have decreased more than 20% since 1990 due to extreme economic changes,emissions in his country have decreased more than 20% since 1990 due to extreme economic changes,other
1996,384,SLOVENIA,stressed,appropriate technology,support
1996,387,TANZANIA,noted that,technology transfer and capacity building should not be left to AIJ,other
1996,388,INDONESIA,welcomed,AIJ on a voluntary basis,support
1996,390,GERMANY,supported,"""common but differentiated"" responsibilities",support
1996,391,JAPAN,proposed,creation of a foundation for global measures,support
1996,393,SUDAN,encouraged,international cooperation to revive traditional means of transportation and enhanced energy efficiency,support
1996,393,TURKMENISTAN,encouraged,international cooperation to revive traditional means of transportation and enhanced energy efficiency,support
1996,394,SOUTH KOREA,said,the new SAR findings demand unity in tackling climate change,support
1996,396,SWEDEN,supported,coordinated measures in taxation,support
1996,396,DENMARK,supported,coordinated measures in taxation,support
1996,397,MOLDOVA,suggested,taxes on oil imports,support
1996,397,MOLDOVA,suggested,excessive emissions,support
1996,397,MOLDOVA,suggested,credits for technology transfer,support
1996,398,FINLAND,said,international coordination is needed in the case of economic instruments,support
1996,399,UK,called for,removing subsidies on the use of fossil fuels,support
1996,400,NETHERLANDS,reported,the Climate Technology Initiative (CTI) on behalf of the OECD,other
1996,400,OECD,on behalf of,the Climate Technology Initiative (CTI),other
1996,400,EUROPEAN UNION,on behalf of,the Climate Technology Initiative (CTI),other
1996,402,CANADA,highlighted,the participation of industry and NGOs in an open and transparent process,support
1996,403,ICELAND,underlined the need for,additional efforts to fulfill the Berlin Mandate,support
1996,404,BELGIUM,emphasized the link between FCCC negotiations and those at the CSD,the link between FCCC negotiations and those at the CSD,support
1996,404,BELGIUM,said the Special Session of the General Assembly will be the “moment of truth,the Special Session of the General Assembly will be the “moment of truth,support
1996,408,ZIMBABWE,said,emerging interest groups had slowed negotiations and appealed to Parties to conclude issues blocking implementation,other
1996,409,ARGENTINA,called for,a substantive and binding Ministerial Declaration,support
1996,423,GERMANY,On strengthening Annex I Party commitments within the context of the Berlin Mandate,strengthening Annex I Party commitments within the context of the Berlin Mandate,other
1996,429,AUSTRALIA,had difficulty with,the aspect of the text committing Parties to legally binding targets in a final legal instrument without the nature and context being clear,opposition
1996,430,USA,endorsed,the Declaration,support
1996,430,USA,said,the negotiated outcome must ensure maximum national flexibility for all Parties to implement their medium-term legally binding commitments,support
1996,432,NEW ZEALAND,had difficulty with,a reference concerning targets in the Declaration,other
1996,432,NEW ZEALAND,must be qualified by the view that it can only be advanced on the basis of a least cost approach,support,support
1996,435,EUROPEAN UNION,fully and unequivocally supported,the Ministerial Declaration,support
1996,435,GHANA,said,the FCCC is “a matter of life and death,other
1996,438,SAUDI ARABIA,asked to have,his statement annexed to the report as well,support
1996,442,JAPAN,Available,CLOSING PLENARY,other
1996,446,HUNGARY,reported,the SBSTA’s discussion on the IPCC SAR,other
1996,458,ARGENTINA,Available,Estrada-Oyuela,other
1996,470,UK,said,the first session of this Group dealt with a questionnaire sent to Parties,other
1996,487,MARSHALL ISLANDS,pointed out,a majority of delegations supported the stronger interpretation of the SAR,other
1996,489,EUROPEAN UNION,called,the SAR the most authoritative assessment on the science of climate change,support
1996,490,SAUDI ARABIA,disagreed with,this assessment,opposition
1996,496,G-77/CHINA,emphasized,this is the only document accepted by the COP on guidance to the GEF,support
1996,504,ARGENTINA,Available,Estrada-Oyuela,other
1996,509,VENEZUELA,stated that it did not support,the draft Declaration,opposition
1996,511,RUSSIA,asked that its prepared statement be reflected in the report of the session,its prepared statement be reflected in the report of the session,support
1996,512,KUWAIT,proposed inserting,a footnote stating that several countries have objected,support
1996,513,AOSIS,accepted,the Declaration as a statement of determination to give force and direction to the Berlin Mandate,support
1996,514,ARGENTINA,objected,many of the delegates who spoke were not ministers,opposition
1996,516,GERMANY,proposed,"""Geneva Declaration""",support
1996,518,SAUDI ARABIA,proposed,their statements on the Ministerial Declaration be annexed to the report Monday,support
1996,518,RUSSIA,proposed,their statements on the Ministerial Declaration be annexed to the report Monday,support
1996,521,SAUDI ARABIA,requested that its objection to the rules of procedure be noted,its objection to the rules of procedure,support
1996,522,JAMAICA,stressed,the need for transparency in the consultative process on the rules of procedure,support
1996,524,COSTA RICA,Available,,other
1996,530,SWITZERLAND,commeded the Swiss government for organizing the “cybercafe”,organizing the “cybercafe”,support
1996,531,ZIMBABWE,described his election as the “easiest thing” at this Conference,his election as the “easiest thing” at this Conference,other
1996,566,GERMANY,has been preparing the ground,one of the features that will set the Berlin Mandate process apart from the non-binding nature of the FCCC,support
1996,571,USA,support,a legally binding agreement,support
1996,573,AOSIS,openly noted,this could leave the AOSIS protocol,other
1996,579,CANADA,believes,the absence of rules of procedure means a protocol — the preferred route for realizing the Berlin Mandate — can only be adopted by consensus,support
1996,616,UK,A Workshop on the Preparation of Regional Climate Projections for Impact will be held in London from 24 - 26 September 1996.,A Workshop on the Preparation of Regional Climate Projections for Impact will be held in London from 24 - 26 September 1996.,other
1996,618,FRANCE,will also hold workshops on integrated assessment modeling in,integrated assessment modeling,other
1996,618,JAPAN,hold workshops on integrated assessment modeling in,integrated assessment modeling,other
1996,638,USA,is sponsoring,workshops for government officials and private-sector firms to learn about the benefits of landfill gas-to-energy recovery projects,support
1996,639,THAILAND,is scheduled for 22 August 1996 at the UN Conference Center in Bangkok,workshop for Asia and the Pacific,other
1996,640,POLAND,scheduled for,The workshop for Central and Eastern Europe on 9 September 1996 at the Warsaw Marriott Hotel,other
1996,645,NETHERLANDS,At the initiative of,Conference on AIJ from the Perspective of Developing Countries,support
1997,4,EGYPT,conducted consultations,a draft political statement for the signature of Heads of State and Government expected to attend the Special Session,other
1997,4,SWITZERLAND,conducted consultations,a draft political statement for the signature of Heads of State and Government expected to attend the Special Session,other
1997,13,MALAYSIA,was elected,the first Chair of the Commission,other
1997,20,FRANCE,translation by Mongi Gadhoum,French translation,other
1997,22,NETHERLANDS,Ministry for Development Cooperation,,other
1997,23,UK,provided,General support for the Bulletin during 1997,support
1997,24,NORWAY,has been provided by,Specific funding for coverage of this meeting,support
1997,25,FRANCE,with support from,the French version,support
1997,43,BRAZIL,Chaired by,Henrique Cavalcanti,other
1997,52,UK,prepared by Co-Chairs Derek Osborn (UK),draft “Proposed Outcome of the Special Session”,support
1997,53,BRAZIL,after feedback from delegates on a first draft,a first draft,other
1997,57,BULGARIA,opened,CSD-5,other
1997,69,TANZANIA,Available,TANZANIA,other
1997,74,FINLAND,stated that,ODA should be channeled to the poorest countries and used to improve the enabling environment for private sector operations,support
1997,75,US,said,the CSD should make clear to the private sector that investment must aim for sustainable development while encouraging sustainable capital investment,support
1997,76,JAPAN,stated that,developing countries should bear the primary responsibility for their own development with the assistance of developed countries,support
1997,77,MALAYSIA,proposed adding globalization as a cross-cutting issue for annual CSD consideration,adding globalization as a cross-cutting issue for annual CSD consideration,support
1997,78,PANAMA,called for consideration of,globalization in any CSD examination of progress in implementing Agenda 21,support
1997,79,NORWAY,said,social and environmental concerns must be taken into account by the global trading system,support
1997,80,EGYPT,noted,developing countries’ concern that environmental protection not be used as a guise for protectionism,other
1997,81,CUBA,said,there would be no equity in sustainable development if countries focus only on privatization and pursuit of the perfect market,support
1997,83,US,said,the CSD should lead an effort within the UN system to develop a programme of action for sustainable energy use,support
1997,84,NORWAY,called for,increased use of renewable energy sources,support
1997,84,ICELAND,called for,increased use of renewable energy sources,support
1997,85,SWITZERLAND,proposed,an intergovernmental panel on energy,support
1997,85,DENMARK,proposed,an intergovernmental panel on energy,support
1997,89,EUROPEAN UNION,Available,The EU,other
1997,92,EUROPEAN UNION,called for,a new initiative on eco-efficiency to address unsustainable production and consumption patterns,support
1997,94,AOSIS,called on the international community to actively support,the Barbados Programme of Action for Small Island Developing States (SIDS),support
1997,95,SPAIN,Available,Available,other
1997,98,EUROPEAN UNION,Available,The EU,other
1997,99,CANADA,said,the CSD should recommend launching negotiations this year,support
1997,101,MALAYSIA,supported seeking,a time-bound schedule leading to an equitable and comprehensive global forest convention,support
1997,102,RUSSIA,favored,a convention,support
1997,104,INDIA,emphasized,countries’ sovereignty over their resources,support
1997,130,INTERNATIONAL WORK GROUP FOR INDIGENOUS AFFAIRS (IWGIA),called for,corporate responsibility for transnational corporations (TNCs),support
1997,130,INTERNATIONAL WORK GROUP FOR INDIGENOUS AFFAIRS (IWGIA),called for,priority for the draft Declaration on the Rights of Indigenous Peoples,support
1997,130,INTERNATIONAL WORK GROUP FOR INDIGENOUS AFFAIRS (IWGIA),called for,a permanent UN forum for indigenous peoples,support
1997,130,INTERNATIONAL WORK GROUP FOR INDIGENOUS AFFAIRS (IWGIA),called for,expanding the scope of the indigenous peoples’ fund for participation,support
1997,130,INTERNATIONAL WORK GROUP FOR INDIGENOUS AFFAIRS (IWGIA),called for,inclusion of indigenous peoples on a par with industry in the CSD’s work,support
1997,130,INTERNATIONAL WORK GROUP FOR INDIGENOUS AFFAIRS (IWGIA),called for,a moratorium on bio-prospecting until IPR are protected,support
1997,145,USA,The dialogue session on farmers included representatives from,the US,other
1997,160,BRAZIL,Available,Celso Amorim,other
1997,177,EUROPEAN UNION,called for,national and international environmental and social policies to ensure that globalization trends have a positive impact on sustainable development,support
1997,178,CANADA,added,many developing countries still require international assistance for sustainable development,other
1997,179,BELARUS,highlighted,the need for international support to help economies in transition become integrated in the world economy,support
1997,189,G-77/CHINA,added,a reference to the insufficiency of GEF replenishment,support
1997,198,USA,objected to,a G-77/CHINA-proposed reference to the principle of common but differentiated responsibilities,opposition
1997,198,NORWAY,objected to,a G-77/CHINA-proposed reference to the principle of common but differentiated responsibilities,opposition
1997,202,G-77/CHINA,proposal noting that,sustained economic growth is essential to the economic and social,support
1997,202,CHINA,proposal noting that,sustained economic growth is essential to the economic and social,support
1997,204,SWITZERLAND,proposed,text on labor rights,support
1997,206,EUROPEAN UNION,objected to,a G-77/CHINA amendment that globalization has tilted the balance of responsibility for development toward the international level,opposition
1997,209,USA,withdrew,an amendment referring to implementation of the “relevant portions” of the Beijing Platform for Action,support
1997,213,USA,encourage changes in consumption patterns,changes in consumption patterns,other
1997,213,CANADA,encourage consumer awareness,consumer awareness,other
1997,213,NORWAY,reduce damaging subsidies,reducing damaging subsidies,other
1997,214,G-77/CHINA,objected to,a CANADIAN amendment to address consumption patterns in “rapidly industrializing countries,opposition
1997,214,CHINA,objected to,a CANADIAN amendment to address consumption patterns in “rapidly industrializing countries,opposition
1997,215,G-77/CHINA,deleted,references to timetables and targets,support
1997,215,USA,deleted,references to timetables and targets,support
1997,219,G-77/CHINA,introduced,concerns about discriminatory trade practices,support
1997,226,ARGENTINA,preferred,the original text on family and maternal health care,support
1997,226,MALTA,preferred,the original text on family and maternal health care,support
1997,229,G-77/CHINA,bracketed,US text on the effects of lead poisoning on children,other
1997,229,G-77/CHINA,bracketed,tobacco awareness strategies,other
1997,232,G-77/CHINA,proposed,a reference to the need for international cooperation and support of national efforts,support
1997,238,EUROPEAN UNION,states,the final paragraph containing the EU proposal for a freshwater initiative,other
1997,240,G-77/CHINA,said,mention the means of implementation before mentioning results,support
1997,240,G-77/CHINA,said,include a Earth Negotiations Bulletin,support
1997,242,EGYPT,said that,"""customary use"" carried a specific legal implication",support
1997,242,EGYPT,said that,"""sustainable customary use"" was an unknown term",opposition
1997,243,USA,noted that not all customary uses are sustainable and those that are should be distinguished,not all customary uses are sustainable and those that are should be distinguished,other
1997,245,G-77/CHINA,discussed,the incorporation of the G-77/CHINA proposal on international cooperation,other
1997,249,G-77/CHINA,added that,economic valuation of water should be seen in the context of its social and economic implications,support
1997,251,USA,added,strategies must include programmes to minimize wasteful consumption,support
1997,258,MARSHALL ISLANDS,Available,The MARSHALL ISLANDS,other
1997,259,G-77/CHINA,preferred,the fair access language,support
1997,260,EUROPEAN UNION,proposals by,proposals,support
1997,260,CANADA,proposals by,proposals,support
1997,262,NORWAY,Available,,other
1997,263,G-77/CHINA,noted,the need to increase developing countries’ fleet capacity,other
1997,264,Delegates,accepted,CANADA’s subparagraph stating that governments should consider the positive and negative impact of subsidies,support
1997,265,G-77/CHINA,said they are opposed to,phasing out subsidies in developing countries,opposition
1997,265,CHINA,said they are opposed to,phasing out subsidies in developing countries,opposition
1997,266,G-77/CHINA,Available,,other
1997,269,G-77/CHINA,added a call for assistance,assistance to developing countries,support
1997,278,G-77/CHINA,contains,the G-77/CHINA proposal: establish an Intergovernmental Forum on Forests to promote and monitor implementation of the IPF action proposals and either consider and advise on the need for other mechanisms,support
1997,278,CHINA,contains,the G-77/CHINA proposal: establish an Intergovernmental Forum on Forests to promote and monitor implementation of the IPF action proposals and either consider and advise on the need for other mechanisms,support
1997,284,EUROPEAN UNION,proposal,a high-level CSD forum on environment and energy to prepare an upcoming CSD session dedicated to establishing a common strategy for a sustainable energy future,support
1997,284,USA,was not supported,a high-level CSD forum on environment and energy to prepare an upcoming CSD session dedicated to establishing a common strategy for a sustainable energy future,opposition
1997,289,G-77/CHINA,proposed,subparagraph was added on further research,support
1997,290,G-77/CHINA,opposed,"""cleaner and more efficient"" technology",opposition
1997,292,CANADA,deleted,nuclear energy,support
1997,292,CANADA,added,movement towards energy pricing that reflects full economic and environmental costs,support
1997,293,JAPAN,preferred,"""reduction"" rather than elimination of subsidies",support
1997,294,G-77/CHINA,preferred deleting,the entire subparagraph,support
1997,294,CHINA,preferred deleting,the entire subparagraph,support
1997,299,EUROPEAN UNION,contains,a bracketed EU proposal for an international tax on aviation fuel,support
1997,300,G-77/CHINA,must be accompanied by technical and economic assistance to developing countries,an accelerated phase-out of leaded gasoline,support
1997,305,USA,contains,a bracketed reference noting that the FCCC commitments are inadequate,support
1997,307,US,proposed,language noting that UNGASS should recommend that the FCCC accelerate negotiations,support
1997,308,EUROPEAN UNION,Available,The EU,other
1997,309,AOSIS,underscored its protocol,20% reduction below 1990 levels by 2005,support
1997,310,JAPAN,called for,agreement on quantified objectives for emission reductions and agreement to elaborate on policies and measures,support
1997,314,EUROPEAN UNION,proposed,a specific reference to methyl bromide and earlier phase-out in developing countries,support
1997,315,G-77/CHINA,said,the prioritization of issues should be left to the COP,support
1997,315,G-77/CHINA,noted,the failure to include language on providing resources,other
1997,316,EUROPEAN UNION,accepted,an EU reformulation mentioning that the Multilateral Fund was recently replenished to provide funds,support
1997,339,EUROPEAN UNION,added action to ensure,secure land tenure and access to land,support
1997,340,G-77/CHINA,opposed,NORWAY’s call for measures to improve food security for the urban poor,opposition
1997,341,NORWAY,should be a policy priority,"""sustainable food security among both urban and rural poor""",support
1997,341,G-77/CHINA,should provide adequate resources and technical assistance to developing countries to this end,"""developed countries and the international community""",support
1997,341,CHINA,should provide adequate resources and technical assistance to developing countries to this end,"""developed countries and the international community""",support
1997,342,EUROPEAN UNION,Available,The EU,other
1997,346,G-77/CHINA,called for,"""have the capacity to increase the effectiveness and efficiency of and ensure new and additional financial resources""",support
1997,347,EUROPEAN UNION,Available,The EU,other
1997,348,G-77/CHINA,calling for the transfer of,"""environmentally sound",support
1997,348,CHINA,calling for the transfer of,"""environmentally sound",support
1997,352,USA,agreed,provided it was stated in a separate subparagraph,support
1997,354,SWITZERLAND,call for the elaboration of national biodiversity action plans by 2002,elaboration of national biodiversity action plans by 2002,support
1997,359,Delegates,accepted,revised G-77/CHINA text acknowledging the need for further work,support
1997,361,UKRAINE,agreed to add a separate paragraph using,UKRAINE’s text,support
1997,361,UK,agreed to add a separate paragraph using,UKRAINE’s text,support
1997,363,PHILIPPINES,bracketed,technological and man-made disasters,support
1997,366,G-77/CHINA,stressed,the need to fulfill all financial commitments in Agenda 21,support
1997,366,CHINA,stressed,the need to fulfill all financial commitments in Agenda 21,support
1997,367,EUROPEAN UNION,stressed,national legal and financial systems,support
1997,367,USA,stressed,national legal and financial systems,support
1997,368,EUROPEAN UNION,called for,"""satisfactory"" replenishment of GEF resources",support
1997,369,USA,noted,that,other
1997,372,G-77/CHINA,expressed concern about,the late addition of the new proposal,opposition
1997,373,MALAYSIA,offered,a similar proposal,support
1997,377,EUROPEAN UNION,supported,the paragraph,support
1997,377,USA,supported,the paragraph,support
1997,378,EUROPEAN UNION,calls for,the urgent fulfillment of all financial commitments [and objectives] of Agenda 21,support
1997,386,G-77/CHINA,called for,fulfillment of all commitments in Chapter 34 of Agenda 21,support
1997,386,CHINA,called for,fulfillment of all commitments in Chapter 34 of Agenda 21,support
1997,387,G-77/CHINA,said,the market approach cannot be relied on to assure that such technologies will become widely available,opposition
1997,388,G-77/CHINA,added,a G-77/CHINA proposal noting the contribution that the creation of centers for transfer of technology at various levels,support
1997,389,NORWAY,proposal calling for support,cleaner production programmes in public and private companies,support
1997,392,USA,added a US proposal calling on both developed and developing countries to strengthen efforts for sharing environmental expertise and data,calling on both developed and developing countries to strengthen efforts for sharing environmental expertise and data,support
1997,394,CANADA,call for,full and equal participation of girls and women in this regard,support
1997,398,G-77/CHINA,was not prepared to discuss,the compilation text,opposition
1997,400,EUROPEAN UNION,calls for,judicial and administrative channels to seek redress from decisions that are socially and environmentally harmful or violate human rights,support
1997,401,USA,The,US,other
1997,403,G-77/CHINA,was not prepared to discuss,the compilation text,opposition
1997,404,CANADA,include,gender-disaggregated data,support
1997,404,JAPAN,include,collaboration on high-tech info-communications infrastructure,support
1997,404,NORWAY,include,environmental impact assessments,support
1997,404,CANADA,include,peer reviews,support
1997,436,EUROPEAN UNION,said,the timing of major group dialogues did not allow sufficient input to the negotiations,other
1997,436,EUROPEAN UNION,suggested,future major group dialogues address the CSD’s thematic issue at an earlier stage,support
1997,441,USA,discussed,annex three proposals that were introduced after the initial compilation of amendments was made (US-Norway-Malaysia regarding an intergovernmental process on financial issues; Bangladesh on micro-credit; and Australia on NGO dialogue with the WTO’s Committee on Trade and Environment),other
1997,441,NORWAY,discussed,annex three proposals that were introduced after the initial compilation of amendments was made (US-Norway-Malaysia regarding an intergovernmental process on financial issues; Bangladesh on micro-credit; and Australia on NGO dialogue with the WTO’s Committee on Trade and Environment),other
1997,441,MALAYSIA,discussed,annex three proposals that were introduced after the initial compilation of amendments was made (US-Norway-Malaysia regarding an intergovernmental process on financial issues; Bangladesh on micro-credit; and Australia on NGO dialogue with the WTO’s Committee on Trade and Environment),other
1997,441,BANGLADESH,discussed,annex three proposals that were introduced after the initial compilation of amendments was made (US-Norway-Malaysia regarding an intergovernmental process on financial issues; Bangladesh on micro-credit; and Australia on NGO dialogue with the WTO’s Committee on Trade and Environment),other
