Entity,Mapped label
Nairobi,KENYA
KIRIBATI,KIRIBATI
Kiribati,KIRIBATI
Kuwait,KUWAIT
LEBANON,LEBANON
Libya,LIBYA
LITHUANIA,LITHUANIA
Kuala Lumpur,MALAYSIA
Malaysia,MALAYSIA
MALDIVES,MALDIVES
Malta,MALTA
Marshall Islands,MARSHALL ISLANDS
Mauritania,MAURITANIA
Mexico,MEXICO
the Republic of Moldova,MOLDOVA
Monaco,MONACP
Morocco,MOROCCO
MYANMAR,MYANMAR
Namibia,NAMIBIA
Nepal,NEPAL
Dutch,NETHERLANDS
Netherlands,NETHERLANDS
NETHERLANDS,NETHERLANDS
The Netherlands,NETHERLANDS
"New 
Zealand",NEW ZEALAND
New  Zealand,NEW ZEALAND
NEW ZEALAND,NEW ZEALAND
"NEW
ZEALAND",NEW ZEALAND
"New
Zealand",NEW ZEALAND
New Zealand,NEW ZEALAND
NICARAGUA,NICARAGUA
Nicaragua,NICARAGUA
NIGERIA,NIGERIA
Nigeria,NIGERIA
Norway,NORWAY
NORWAY,NORWAY
NORWEGIAN,NORWAY
Oslo,NORWAY
OMAN,OMAN
Oman,OMAN
PAKISTAN,PAKISTAN
Pakistan,PAKISTAN
Palau,PALAU
PANAMA,PANAMA
Panama,PANAMA
Papua New Guinea,PAPUA NEW GUINEA
Lima,PERU
Peru,PERU
Philippines,PHILIPPINES
PHILIPPINES,PHILIPPINES
POLAND,POLAND
Poland,POLAND
Polish,POLAND
Warsaw,POLAND
PORTUGAL,PORTUGAL
Portugal,PORTUGAL
Doha,QATAR
QATAR,QATAR
Qatar,QATAR
Ireland,REPUBLIC OF IRELAND
Romania,ROMANIA
Moscow,RUSSIA
RUSSIA,RUSSIA
Russia,RUSSIA
RUSSIAN,RUSSIA
Russian,RUSSIA
Russian Federation,RUSSIA
RUSSIAN FEDERATION,RUSSIA
Russians,RUSSIA
The RUSSIAN FEDERATION,RUSSIA
the RUSSIAN FEDERATION,RUSSIA
the Russian Federation,RUSSIA
The Russian Federation,RUSSIA
the Russian Federation's,RUSSIA
Rwanda,RWANDA
Saudi,SAUDI ARABIA
SAUDI ARABIA,SAUDI ARABIA
Saudi Arabia,SAUDI ARABIA
Saudi Arabia's,SAUDI ARABIA
Saudi Arabian,SAUDI ARABIA
Senegal,SENEGAL
Singapore,SINGAPORE
Slovenia,SLOVENIA
South Africa,SOUTH AFRICA
SOUTH AFRICA,SOUTH AFRICA
South African,SOUTH AFRICA
KOREA,SOUTH KOREA
the Republic of Korea,SOUTH KOREA
The Republic of Korea,SOUTH KOREA
SPAIN,SPAIN
Spain,SPAIN
Spanish,SPAIN
Sudan,SUDAN
Sweden,SWEDEN
SWEDEN,SWEDEN
Swiss,SWITZERLAND
Switzerland,SWITZERLAND
SWITZERLAND,SWITZERLAND
SYRIA,SYRIA
Tanzania,TANZANIA
the United Republic of Tanzania,TANZANIA
Bangkok,THAILAND
Thailand,THAILAND
THAILAND,THAILAND
Trinidad,TRINIDAD AND TOBAGO
TURKEY,TURKEY
Turkey,TURKEY
Turkmenistan,TURKMENISTAN
UGANDA,UGANDA
Uganda,UGANDA
Ukraine,UKRAINE
Abu Dhabi,UNITED ARAB EMIRATES (UAE)
the United Arab Emirates,UNITED ARAB EMIRATES (UAE)
UAE,UNITED ARAB EMIRATES (UAE)
"United Arab 
Emirates",UNITED ARAB EMIRATES (UAE)
United Arab Emirates,UNITED ARAB EMIRATES (UAE)
London,UK
"the United
Kingdom",UK
the United Kingdom,UK
UK,UK
United Kingdom,UK
The United States,USA
the United States,USA
the United States of America,USA
US,USA
USA,USA
Washington,USA
Washington DC,USA
"Washington, DC",USA
Uruguay,URUGUAY
Venezuela,VENEZUELA
VIETNAM,VIETNAM
YEMEN,YEMEN
Yemen,YEMEN
Yugoslavia,YUGOSLAVIA
Harare,ZIMBABWE
Zimbabwe,ZIMBABWE
ZIMBABWE,ZIMBABWE
Alliance of Small Island States,AOSIS
AOSIS,AOSIS
Like-Minded Group of Developing Countries,LMDCs
LMDC,LMDCs
African Group,AFRICAN GROUP
Asia and the Pacific Group,ASIA AND THE PACIFIC GROUP
"Eastern European Group ",EEG
Latin American and Caribbean Group,GRULAC
Western European and Others Group,WEOG
EEG,EEG
GRULAC,GRULAC
WEOG,WEOG
Group of 77,G77
the AFRICAN GROUP,AFRICAN GROUP
The INDEPENDENT ALLIANCE OF LATIN AMERICA,AILAC
Independent Alliance of Latin America and the Caribbean,AILAC
Arab Group,ARAB GROUP
Indigenous Peoples,INTERNATIONAL WORK GROUP FOR INDIGENOUS AFFAIRS (IWGIA)
International Work Group for Indigenous Affairs,INTERNATIONAL WORK GROUP FOR INDIGENOUS AFFAIRS (IWGIA)
Umbrella Group,UMBRELLA GROUP
African Group of Negotiators,AGN
Bolivarian Alliance for the Peoples of our America,ALBA
LLDCs,LLDCs
Landlocked Developing Countries,LLDCs
Least Developed Countries,LDCs
LDCs,LDCs
LIKE MINDED DEVELOPING COUNTRIES (LMDCs),LMDCs
LMDCs,LMDCs
OECD,OECD
Organisation for Economic Co-operation and Development,OECD
Organisation of the Petroleum Exporting Countries,OPEC
OPEC,OPEC
G-77/CHINA,G-77/CHINA
G-77/China,G-77/CHINA
