year,paragraph_id,actor,predicate,negotiation_point,predicate_type
1996,128,GEORGIA,thought,the SAR should be amended to reflect regional differences in climate change,support
1996,128,PHILIPPINES,,,other
1996,130,Parties,agreed that the IPCC should be commended for its work and encouraged in its continued cooperation with the SBSTA and the AGBM,IPCC should be commended for its work and encouraged in its continued cooperation with the SBSTA and the AGBM,support
1996,135,JAPAN,proposed,a separate informal session to revise the guidelines,support
1996,135,USA,proposed,a separate informal session to revise the guidelines,support
1996,136,G-77/CHINA,Available,,other
1996,137,MOROCCO,said,capacity building mechanisms should also be included,support
1996,138,EUROPEAN UNION,supported expanding the minimal information required,expanding the minimal information required,support
1996,138,EUROPEAN UNION,suggested that revised guidelines include targets and timetables,revised guidelines include targets and timetables,support
1996,139,AUSTRALIA,called for,the inclusion of performance indicators,support
1996,147,PHILIPPINES,stated that,non-Annex I Parties’ increased responsibilities should be reflected in funding mechanisms,support
1996,152,PHILIPPINES,highlighted,capacity building and analysis of social impacts for AIJ projects,support
1996,152,EL SALVADOR,highlighted,capacity building and analysis of social impacts for AIJ projects,support
1996,154,NORWAY,thought it was premature to draw conclusions from the pilot phase at this time,drawing conclusions from the pilot phase,other
1996,154,NORWAY,proposed the establishment of an AIJ forum at SBSTA’s December 1996 meeting,establishment of an AIJ forum at SBSTA’s December 1996 meeting,support
1996,155,CHINA,suggested postponing,AIJ workshops,support
1996,155,MALAYSIA,suggested postponing,AIJ workshops,support
1996,156,IRAN,said the cost-effectiveness of AIJ projects should be considered,cost-effectiveness of AIJ projects,support
1996,156,IRAN,noted that some projects have been financed with GEF funds,projects financed with GEF funds,other
1996,157,SBSTA,recommended that the COP continue the AIJ pilot phase,AIJ pilot phase,support
1996,157,SBI,recommended that the COP continue the AIJ pilot phase,AIJ pilot phase,support
1996,157,SBSTA and SBI contact group,recommended that the COP continue the AIJ pilot phase,AIJ pilot phase,support
1996,157,SBSTA and SBI contact group,invited Parties to continue reporting under the initial reporting framework adopted by SBSTA during its second session,reporting under the initial reporting framework adopted by SBSTA during its second session,support
1996,160,EUROPEAN UNION,said,priority should be given to identifying technology needs,support
1996,161,IRAN,called for,the establishment of an information center/clearinghouse for technology transfer,support
1996,161,USA,called for,the establishment of an information center/clearinghouse for technology transfer,support
1996,162,CANADA,called for the creation of an environment enabling input from the private sector,creation of an environment enabling input from the private sector,support
1996,163,NETHERLANDS,described,the Climate Technology Institute,other
1996,170,USA,said expanding access to only one type of NGO would be inappropriate,expanding access to only one type of NGO,opposition
1996,170,USA,suggested that existing consultative channels for all NGOs be strengthened,existing consultative channels for all NGOs be strengthened,support
1996,171,USA,supported,the US position,support
1996,173,NEW ZEALAND,take the lead in forming a contact group on the issue,forming a contact group on the issue,support
1996,174,NEW ZEALAND,presented,the draft results of the group,support
1996,180,KIRIBATI,called for,the inclusion of an expert on fisheries,support
1996,181,USA,recommended,the issue be deferred until SBSTA clarifies the tasks envisioned for experts so they do not duplicate the work of other fora,support
1996,182,G-77/CHINA,noted the need to include experts from developing countries and sought full transparency,including experts from developing countries and full transparency,support
1996,188,IRAN,called for,enhanced data collection at regional and subregional levels,support
1996,188,BURKINA FASO,called for,enhanced data collection at regional and subregional levels,support
1996,196,RUSSIA,sought clarification,SBSTA’s relationship to the IPCC concerning the use of its data,support
1996,233,G-77/CHINA,tabled its own draft decision that asks the COP to define funding requirements from the GEF for implementation of the FCCC as follows:,agreed full costs incurred by developing country Parties to prepare national communications; agreed incremental costs to implement measures under Article 4.,support
1996,242,Secretariat,to enhance progress reports on transfer of environmentally sound technologies (ESTs) based on information in national communications; give high priority to development of a survey of initial technology needs of non-Annex I Parties,transfer of environmentally sound technologies (ESTs),support
1996,246,Parties,to report on their activities,their activities,support
1996,246,Parties,to request the Secretariat to support the work on AIJ,the work on AIJ,support
1996,246,SBI,to agree,the work on AIJ,support
1996,246,SBSTA,to agree,the work on AIJ,support
1996,247,AUSTRALIA,includes submissions by,AIJ,support
1996,259,USA,reported,the AGBM Chair Raúl Estrada-Oyuela (Argentina) recalled,other
1996,259,ARGENTINA,recalled,,other
1996,262,THAILAND,was chaired by,ROUND TABLE ON POLICIES AND MEASURES,other
1996,270,USA,This round table was chaired by,Kilaparti Ramakrishna of the Woods Hole Research Center,other
1996,283,USA,was chaired by,informal round table on quantified emission limitation and reduction objectives (QELROs),other
1996,294,Chair,drew attention to the apparent preference,among the Annex I Parties for a draft protocol,other
1996,296,USA,argued that no single set of policies and measures could apply to all countries given their diverging circumstances,no single set of policies and measures could apply to all countries given their diverging circumstances,support
1996,299,BANGLADESH,reminded developed countries about their obligations,obligations,other
1996,300,AUSTRALIA,cautioned that the potential to limit GHG emissions without seriously undermining economic growth is limited,limiting GHG emissions without seriously undermining economic growth,other
1996,300,AUSTRALIA,ruled out flat emissions,flat emissions,opposition
1996,300,AUSTRALIA,ruled out flat emissions as neither environmentally nor cost effective,flat emissions,opposition
1996,302,KUWAIT,stressed,an assessment of policies and measures and QELROs based on their economic impact on developing countries,support
1996,303,EUROPEAN UNION,said,a draft protocol should be negotiated at AGBM-6 based on a synthesis of proposals received in time for AGBM-5,support
1996,305,ARGENTINA,Available,Estrada-Oyuela,other
1996,310,USA,objected to,the inclusion of a reference already binding Parties to the inclusion of a list of options or a “menu”,opposition
1996,310,AUSTRALIA,objected to,the inclusion of a reference already binding Parties to the inclusion of a list of options or a “menu”,opposition
1996,311,EUROPEAN UNION,support for,the draft protocols submitted by the EU,support
1996,311,AOSIS,support for,the draft protocols submitted by the EU,support
1996,317,UK,convened,Panel Presentation and Discussion on MCPs,other
1996,324,EUROPEAN UNION,regretted,substantive discussions were postponed until December,other
1996,327,SAUDI ARABIA,proposal,replace a reference to the possible design of a MCP with one on reporting to the COP,support
1996,336,NEW ZEALAND,stated that a protocol must lead to equitable marginal abatement costs across borders utilizing economic instruments,a protocol must lead to equitable marginal abatement costs across borders utilizing economic instruments,support
1996,337,NORWAY,outlined a legally-binding commitment that recognizes industry structures,legally-binding commitment that recognizes industry structures,support
1996,340,NIGERIA,stated that the FCCC cannot use the SAR as a basis for action,the FCCC cannot use the SAR as a basis for action,support
1996,340,NIGERIA,called for compensation to African countries for the economic consequences of a protocol,compensation to African countries for the economic consequences of a protocol,support
1996,341,SAUDI ARABIA,highlighted the need for an equitable approach and said the SAR should be considered by the COP in making balanced decisions,an equitable approach,support
1996,341,SAUDI ARABIA,said the SAR should be considered by the COP in making balanced decisions,the SAR should be considered by the COP in making balanced decisions,support
1996,343,SYRIA,said more research was needed in order to find the appropriate solutions,appropriate solutions,other
1996,344,KUWAIT,said there are no satisfactory answers to uncertainties and contradictory data,satisfactory answers to uncertainties and contradictory data,opposition
1996,346,JORDAN,expressed concern over,the conclusions of the SAR,other
1996,347,VENEZUELA,cautioned against putting fossil fuels on the “accused” bench,putting fossil fuels on the “accused” bench,opposition
1996,349,RUSSIA,said,the SAR does not yet provide sufficient policy information,other
1996,350,AUSTRALIA,said it would be premature to establish,a particular point at which levels of GHGs become dangerous,support
1996,352,SWITZERLAND,said its GHG inventory indicates that carbon dioxide emissions may stabilize at 1990 levels by 2000,carbon dioxide emissions may stabilize at 1990 levels by 2000,support
1996,353,AUSTRIA,stated that it has de-coupled economic growth and an increase of emissions and will meet the stabilization targets in the year 2000,de-coupling economic growth and an increase of emissions and meeting the stabilization targets in the year 2000,support
1996,354,EUROPEAN UNION,said its members are on course to return CO2 emissions to 1990 levels by 2000,return CO2 emissions to 1990 levels by 2000,support
1996,356,MALAYSIA,called it “regrettable”,the AGBM is still exchanging views and is unable to narrow down policies and measures,opposition
1996,358,PERU,said,the credibility of Annex I Parties and the principle of equity are in danger,support
1996,358,BRAZIL,said,the credibility of Annex I Parties and the principle of equity are in danger,support
1996,359,COLOMBIA,stated that developed countries suffer from the “disease of forgetting”,developed countries suffer from the “disease of forgetting”,other
1996,361,THAILAND,said,developing countries cannot be expected to undertake commitments in the near future,support
1996,362,CUBA,noted,lack of progress by Annex I Parties on financial backing and technology transfer,other
1996,364,COSTA RICA,Available,,other
1996,366,GHANA,called for,expeditious funding from the GEF,support
1996,366,GHANA,noted that,the GEF’s actions depend on decisions of the COP and not the reverse,other
1996,367,EL SALVADOR,said the COP should define criteria,use by the GEF,support
1996,368,INDONESIA,sought assistance with,capacity building,support
1996,368,UGANDA,sought assistance with,capacity building,support
1996,370,BURKINA FASO,Available,,other
1996,372,SIDS,pointed out the potentially devastating consequences of climate change for their countries,potentially devastating consequences of climate change for their countries,other
1996,372,SIDS,expressed support for the AOSIS protocol,AOSIS protocol,support
1996,374,KIRIBATI,stressed,the coral atolls that comprise his nation are three meters above sea level,support
1996,375,MALDIVES,described itself as a,"""front line"" State for climate change",other
1996,375,MARSHALL ISLANDS,drew attention to,regional studies on sea level rises that correlate closely with SAR findings,other
1996,379,BULGARIA,said,the first national communication utilizes 1988 rather than 1990 base year data,other
1996,380,POLAND,said,reduced emission levels in countries with economies in transition helped to offset slight increases by OECD country Parties,other
1996,381,ROMANIA,Available,,other
1996,382,ARMENIA,expressed caution about the adoption of a protocol including firm base years for GHG reductions,adoption of a protocol including firm base years for GHG reductions,other
1996,383,CZECH REPUBLIC,said that emissions in his country have decreased more than 20% since 1990 due to extreme economic changes,emissions in his country have decreased more than 20% since 1990 due to extreme economic changes,other
1996,384,SLOVENIA,stressed the importance of,appropriate technology,support
1996,386,AUSTRALIA,Available,,other
1996,387,TANZANIA,noted that,technology transfer and capacity building should not be left to AIJ,other
1996,388,INDONESIA,welcomed,AIJ on a voluntary basis,support
1996,390,GERMANY,supported,"""common but differentiated"" responsibilities",support
1996,391,JAPAN,proposed,creation of a foundation for global measures,support
1996,393,SUDAN,encouraged international cooperation to revive traditional means of transportation and enhanced energy efficiency,revive traditional means of transportation and enhanced energy efficiency,support
1996,393,TURKMENISTAN,encouraged international cooperation to revive traditional means of transportation and enhanced energy efficiency,revive traditional means of transportation and enhanced energy efficiency,support
1996,394,SOUTH KOREA,said,the new SAR findings demand unity in tackling climate change,other
1996,396,SWEDEN,supported,coordinated measures in taxation,support
1996,396,DENMARK,supported,coordinated measures in taxation,support
1996,397,MOLDOVA,suggested,taxes on oil imports,support
1996,397,MOLDOVA,suggested,excessive emissions,support
1996,397,MOLDOVA,suggested,credits for technology transfer,support
1996,398,FINLAND,said,international coordination is needed in the case of economic instruments,support
1996,399,UK,called for,removing subsidies on the use of fossil fuels,support
1996,400,NETHERLANDS,reported,the Climate Technology Initiative (CTI),other
1996,400,OECD,reported,the Climate Technology Initiative (CTI),other
1996,400,EUROPEAN UNION,reported,the Climate Technology Initiative (CTI),other
1996,402,CANADA,highlighted the participation of industry and NGOs in an open and transparent process,participation of industry and NGOs in an open and transparent process,other
1996,403,ICELAND,underlined the need for additional efforts to fulfill the Berlin Mandate,additional efforts to fulfill the Berlin Mandate,support
1996,404,BELGIUM,emphasized the link between FCCC negotiations and those at the CSD,link between FCCC negotiations and those at the CSD,support
1996,404,BELGIUM,said the Special Session of the General Assembly will be the “moment of truth”,Special Session of the General Assembly as the ‘moment of truth’,support
1996,408,ZIMBABWE,said emerging interest groups had slowed negotiations and appealed to Parties to conclude issues blocking implementation,issues blocking implementation,support
1996,409,ARGENTINA,called for,a substantive and binding Ministerial Declaration,support
1996,429,AUSTRALIA,had difficulty with,the aspect of the text committing Parties to legally binding targets in a final legal instrument without the nature and context being clear,other
1996,430,USA,wholeheartedly endorsed,the Declaration,support
1996,430,USA,said,the negotiated outcome must ensure maximum national flexibility for all Parties to implement their medium-term legally binding commitments,support
1996,432,NEW ZEALAND,had difficulty with a reference concerning targets in the Declaration,targets in the Declaration,other
1996,432,NEW ZEALAND,support must be qualified by the view that it can only be advanced on the basis of a least cost approach,support for targets in the Declaration,support
1996,435,EUROPEAN UNION,fully and unequivocally supported,the Ministerial Declaration,support
1996,435,GHANA,said,the FCCC is “a matter of life and death,other
1996,437,President,proposed that COP-2 “take note” of the Declaration and that it be annexed to the Report of the Session (FCCC/CP/1996/L.,COP-2 take note of the Declaration and annex it to the Report of the Session (FCCC/CP/1996/L.,support
1996,438,SAUDI ARABIA,asked to have his statement annexed to the report as well,his statement annexed to the report,support
1996,441,SWITZERLAND,look forward to COP-3 in Kyoto,COP-3 in Kyoto,other
1996,442,JAPAN,CLOSING PLENARY,,other
1996,446,HUNGARY,reported on the SBSTA’s discussion on the IPCC SAR,SBSTA’s discussion on the IPCC SAR,other
1996,458,ARGENTINA,Available,Estrada-Oyuela,other
1996,470,UK,said,the first session of this Group dealt with a questionnaire sent to Parties,other
1996,487,MARSHALL ISLANDS,pointed out,a majority of delegations supported the stronger interpretation of the SAR,other
1996,489,EUROPEAN UNION,called,the SAR,other
1996,489,EUROPEAN UNION,called,the most authoritative assessment on the science of climate change,support
1996,490,SAUDI ARABIA,disagreed with this assessment,this assessment,opposition
1996,496,G-77/CHINA,emphasized that this is the only document accepted by the COP on guidance to the GEF,this document,support
1996,504,ARGENTINA,Available,Estrada-Oyuela,other
1996,509,VENEZUELA,stated that it did not support,the draft Declaration,opposition
1996,511,RUSSIA,asked that its prepared statement be reflected in the report of the session,its prepared statement be reflected in the report of the session,support
1996,512,KUWAIT,proposed inserting,a footnote stating that several countries have objected,support
1996,513,AOSIS,accepted,the Declaration as a statement of determination to give force and direction to the Berlin Mandate,support
1996,514,ARGENTINA,objected that many of the delegates who spoke were not ministers,many of the delegates who spoke were not ministers,opposition
1996,516,GERMANY,proposed referring to the declaration as the “Geneva Declaration,the declaration as the “Geneva Declaration”,support
1996,518,SAUDI ARABIA,proposed,their statements on the Ministerial Declaration be annexed to the report,support
1996,518,RUSSIA,proposed,their statements on the Ministerial Declaration be annexed to the report,support
1996,521,SAUDI ARABIA,requested that its objection to the rules of procedure be noted,rules of procedure,support
1996,522,JAMAICA,stressed the need for,transparency in the consultative process on the rules of procedure,support
1996,530,SWITZERLAND,commeded the Swiss government for organizing the,"""cybercafe""",support
1996,531,ZIMBABWE,described his election as the “easiest thing” at this Conference,his election,other
1996,551,developing country delegates,expressed dissatisfaction with what they saw as an attempt by developed countries to shift the burden of implementation from Annex I to non-Annex I Parties,an attempt by developed countries to shift the burden of implementation from Annex I to non-Annex I Parties,opposition
1996,566,GERMANY,has been preparing the ground,one of the features that will set the Berlin Mandate process apart from the non-binding nature of the FCCC,other
1996,571,USA,shift in position to support,a legally binding agreement,support
1996,573,AOSIS,openly noted that this could leave the AOSIS protocol,this,other
1996,579,CANADA,believes,absence of rules of procedure,other
1996,579,CANADA,believes,protocol — the preferred route for realizing the Berlin Mandate — can only be adopted by consensus,support
1996,616,UK,A Workshop on the Preparation of Regional Climate Projections for Impact will be held in,London from 24 - 26 September 1996,other
1996,618,FRANCE,will also hold workshops on integrated assessment modeling,workshops on integrated assessment modeling,other
1996,618,JAPAN,hold workshops on integrated assessment modeling,workshops on integrated assessment modeling,other
1996,638,USA,is sponsoring,workshops for government officials and private-sector firms to learn about the benefits of landfill gas-to-energy recovery projects,support
1996,645,NETHERLANDS,At the initiative of,Conference on AIJ from the Perspective of Developing Countries,support
1997,4,EGYPT,conducted consultations,a draft political statement for the signature of Heads of State and Government expected to attend the Special Session,other
1997,4,SWITZERLAND,conducted consultations,a draft political statement for the signature of Heads of State and Government expected to attend the Special Session,other
1997,13,MALAYSIA,was elected the first Chair of the Commission,first Chair of the Commission,other
1997,22,NETHERLANDS,Available,Ministry for Development Cooperation,other
1997,23,UK,provides support for the Bulletin during 1997,the Bulletin during 1997,support
1997,24,NORWAY,provided by,Specific funding for coverage of this meeting,other
1997,25,FRANCE,with support from,the French version,support
1997,43,BRAZIL,Chaired by,the session,other
1997,52,UK,prepared by,draft “Proposed Outcome of the Special Session”,support
1997,53,BRAZIL,after feedback from delegates on a first draft,a first draft,other
1997,57,BULGARIA,opened,CSD-5,other
1997,62,WEOG,elected,Monika Linn-Locher,other
1997,62,SWITZERLAND,elected,Monika Linn-Locher,other
1997,74,FINLAND,stated that ODA should be channeled to the poorest countries and used to improve the enabling environment for private sector operations,ODA should be channeled to the poorest countries and used to improve the enabling environment for private sector operations,support
1997,75,USA,said the CSD should make clear to the private sector that investment must aim for sustainable development while encouraging sustainable capital investment,investment must aim for sustainable development while encouraging sustainable capital investment,support
1997,76,JAPAN,stated that developing countries should bear the primary responsibility for their own development with the assistance of developed countries,developing countries should bear the primary responsibility for their own development with the assistance of developed countries,support
1997,77,MALAYSIA,proposed adding globalization as a cross-cutting issue for annual CSD consideration,adding globalization as a cross-cutting issue for annual CSD consideration,support
1997,78,PANAMA,called for consideration of globalization,globalization,support
1997,79,NORWAY,said social and environmental concerns must be taken into account by the global trading system,social and environmental concerns,support
1997,80,EGYPT,noted,developing countries’ concern that environmental protection not be used as a guise for protectionism,other
1997,81,CUBA,said there would be no equity in sustainable development if countries focus only on privatization and pursuit of the perfect market,privatization and pursuit of the perfect market,opposition
1997,83,USA,said,the CSD should lead an effort within the UN system to develop a programme of action for sustainable energy use,support
1997,84,NORWAY,called for,increased use of renewable energy sources,support
1997,84,ICELAND,called for,increased use of renewable energy sources,support
1997,85,SWITZERLAND,proposed,an intergovernmental panel on energy,support
1997,85,DENMARK,proposed,an intergovernmental panel on energy,support
1997,92,EUROPEAN UNION,called for,a new initiative on eco-efficiency,support
1997,94,AOSIS,called on the international community to actively support,the Barbados Programme of Action for Small Island Developing States (SIDS),support
1997,95,SPAIN,Available,,other
1997,99,CANADA,said the CSD should recommend launching negotiations this year,launching negotiations this year,support
1997,101,MALAYSIA,supported seeking consensus on a time-bound schedule leading to an equitable and comprehensive global forest convention,a time-bound schedule leading to an equitable and comprehensive global forest convention,support
1997,102,RUSSIA,favored,a convention,support
1997,104,INDIA,emphasized,countries’ sovereignty over their resources,support
1997,130,INTERNATIONAL WORK GROUP FOR INDIGENOUS AFFAIRS (IWGIA),called for,corporate responsibility for transnational corporations (TNCs),support
1997,130,INTERNATIONAL WORK GROUP FOR INDIGENOUS AFFAIRS (IWGIA),called for,priority for the draft Declaration on the Rights of Indigenous Peoples,support
1997,130,INTERNATIONAL WORK GROUP FOR INDIGENOUS AFFAIRS (IWGIA),called for,a permanent UN forum for indigenous peoples,support
1997,130,INTERNATIONAL WORK GROUP FOR INDIGENOUS AFFAIRS (IWGIA),called for,expanding the scope of the indigenous peoples’ fund for participation,support
1997,130,INTERNATIONAL WORK GROUP FOR INDIGENOUS AFFAIRS (IWGIA),called for,inclusion of indigenous peoples on a par with industry in the CSD’s work,support
1997,130,INTERNATIONAL WORK GROUP FOR INDIGENOUS AFFAIRS (IWGIA),called for,a moratorium on bio-prospecting until IPR are protected,support
1997,145,USA,The dialogue session on farmers included representatives from the,farmers,other
1997,177,EUROPEAN UNION,called for,national and international environmental and social policies to ensure that globalization trends have a positive impact on sustainable development,support
1997,178,CANADA,added,many developing countries still require international assistance for sustainable development,other
1997,179,BELARUS,highlighted the need for international support to help economies in transition become integrated in the world economy,international support to help economies in transition become integrated in the world economy,support
1997,189,G-77/CHINA,added a reference to the insufficiency of,GEF replenishment,support
1997,198,USA,objected to,a G-77/CHINA-proposed reference to the principle of common but differentiated responsibilities,opposition
1997,198,NORWAY,objected to,a G-77/CHINA-proposed reference to the principle of common but differentiated responsibilities,opposition
1997,202,G-77/CHINA,proposal noting that,sustained economic growth is essential to the economic and social,support
1997,204,SWITZERLAND,proposed,text on labor rights,support
1997,206,EUROPEAN UNION,objected to,a G-77/CHINA amendment that globalization has tilted the balance of responsibility for development toward the international level,opposition
1997,209,USA,withdrew,an amendment referring to implementation of the “relevant portions” of the Beijing Platform for Action,other
1997,213,USA,encourage changes in consumption patterns,changes in consumption patterns,support
1997,213,CANADA,encourage consumer awareness,consumer awareness,support
1997,213,NORWAY,reduce damaging subsidies,damaging subsidies,support
1997,214,G-77/CHINA,objected to,a CANADIAN amendment to address consumption patterns in “rapidly industrializing countries,opposition
1997,214,CANADA,amendment,to address consumption patterns in “rapidly industrializing countries,support
1997,215,G-77/CHINA,deleted,references to timetables and targets,support
1997,215,USA,deleted,references to timetables and targets,support
1997,217,meeting basic needs in developing countries,,meeting basic needs in developing countries,other
1997,217,higher income group consumption in some developing countries,,higher income group consumption in some developing countries,other
1997,217,full cost pricing of natural resources,,full cost pricing of natural resources,other
1997,217,environmental and social audits,,environmental and social audits,other
1997,217,core indicators [particularly in the industrialized countries],,core indicators [particularly in the industrialized countries],other
1997,217,targets,,targets,other
1997,219,G-77/CHINA,introduced concerns about,discriminatory trade practices,support
1997,226,ARGENTINA,preferred,original text on family and maternal health care,support
1997,226,MALTA,preferred,original text on family and maternal health care,support
1997,229,G-77/CHINA,bracketed,US text on the effects of lead poisoning on children,other
1997,229,G-77/CHINA,bracketed,tobacco awareness strategies,other
1997,232,G-77/CHINA,proposed,reference to the need for international cooperation and support of national efforts,support
1997,238,EUROPEAN UNION,proposal for a freshwater initiative,Available,support
1997,240,G-77/CHINA,said,mention the means of implementation before mentioning results,support
1997,240,G-77/CHINA,said,include a,support
1997,242,EGYPT,said that,"""customary use""",other
1997,242,EGYPT,said that,"""sustainable customary use""",opposition
1997,243,USA,noted that not all customary uses are sustainable and those that are should be distinguished,not all customary uses are sustainable and those that are should be distinguished,other
1997,245,G-77/CHINA,proposal,incorporation of the G-77/CHINA proposal on international cooperation,support
1997,249,G-77/CHINA,added that,economic valuation of water should be seen in the context of its social and economic implications,support
1997,251,USA,added that strategies must include programmes to minimize wasteful consumption,programmes to minimize wasteful consumption,support
1997,258,MARSHALL ISLANDS,Available,,other
1997,259,G-77/CHINA,preferred,fair access language,support
1997,260,EUROPEAN UNION,proposals by,proposals,support
1997,260,CANADA,proposals by,proposals,support
1997,263,G-77/CHINA,noted the need to increase,developing countries’ fleet capacity,other
1997,264,CANADA,subparagraph stating that governments should consider the positive and negative impact of subsidies,governments should consider the positive and negative impact of subsidies,support
1997,265,G-77/CHINA,said they are opposed to phasing out subsidies in developing countries,phasing out subsidies in developing countries,opposition
1997,265,CHINA,said they are opposed to phasing out subsidies in developing countries,phasing out subsidies in developing countries,opposition
1997,266,G-77/CHINA,Available,,other
1997,269,G-77/CHINA,added a call for assistance to developing countries,assistance to developing countries,support
1997,278,G-77/CHINA,proposal,establish an Intergovernmental Forum on Forests to promote and monitor implementation of the IPF action proposals and either consider and advise on the need for other mechanisms,support
1997,284,EUROPEAN UNION,proposal for a high-level CSD forum on environment and energy to prepare an upcoming CSD session dedicated to establishing a common strategy for a sustainable energy future,a high-level CSD forum on environment and energy to prepare an upcoming CSD session dedicated to establishing a common strategy for a sustainable energy future,support
1997,284,USA,not supported,a high-level CSD forum on environment and energy to prepare an upcoming CSD session dedicated to establishing a common strategy for a sustainable energy future,opposition
1997,289,G-77/CHINA,proposed,subparagraph,support
1997,290,G-77/CHINA,opposed,"""cleaner and more efficient"" technology",opposition
1997,292,CANADA,deleted nuclear energy and added movement towards energy pricing that reflects full economic and environmental costs,energy pricing that reflects full economic and environmental costs,support
1997,293,JAPAN,preferred,reduction,support
1997,294,G-77/CHINA,preferred deleting,the entire subparagraph,support
1997,299,EUROPEAN UNION,proposal for,an international tax on aviation fuel,support
1997,300,G-77/CHINA,statement that it must be accompanied by technical and economic assistance to developing countries,an accelerated phase-out of leaded gasoline,support
1997,305,USA,contains a bracketed reference noting that the FCCC commitments are inadequate,FCCC commitments,opposition
1997,307,USA,proposed language noting that UNGASS should recommend that the FCCC accelerate negotiations,UNGASS should recommend that the FCCC accelerate negotiations,support
1997,309,AOSIS,underscored its protocol,20% reduction below 1990 levels by 2005,support
1997,310,JAPAN,called for,agreement on quantified objectives for emission reductions,support
1997,310,JAPAN,called for,agreement to elaborate on policies and measures,support
1997,314,EUROPEAN UNION,proposed,a specific reference to methyl bromide and earlier phase-out in developing countries,support
1997,315,G-77/CHINA,said,the prioritization of issues should be left to the COP,support
1997,315,G-77/CHINA,noted,the failure to include language on providing resources,opposition
1997,316,EUROPEAN UNION,accepted an EU reformulation mentioning that the Multilateral Fund was recently replenished,the Multilateral Fund was recently replenished to provide funds,support
1997,339,EUROPEAN UNION,added action to ensure secure land tenure and access to land,secure land tenure and access to land,support
1997,340,G-77/CHINA,opposed,measures to improve food security for the urban poor,opposition
1997,341,NORWAY,should be a policy priority,sustainable food security among both urban and rural poor,support
1997,341,G-77/CHINA,should provide adequate resources and technical assistance to developing countries to this end,developed countries and the international community,support
1997,346,G-77/CHINA,called for the global mechanism to,"""have the capacity to increase the effectiveness and efficiency of and ensure new and additional financial resources""",support
1997,348,G-77/CHINA,calling for the transfer of,"""environmentally sound",support
1997,348,CHINA,calling for the transfer of,"""environmentally sound",support
1997,352,USA,agreed provided it was stated in a separate subparagraph,it was stated in a separate subparagraph,support
1997,354,SWITZERLAND,call for the elaboration of national biodiversity action plans by 2002,elaboration of national biodiversity action plans by 2002,support
1997,359,G-77/CHINA,accepted revised,text acknowledging the need for further work,support
1997,361,UKRAINE,text,Available,support
1997,363,PHILIPPINES,bracketed,technological and man-made disasters,other
1997,366,G-77/CHINA,stressed the need to fulfill all financial commitments,all financial commitments in Agenda 21,support
1997,367,EUROPEAN UNION,stressed,national legal and financial systems,support
1997,367,USA,stressed,national legal and financial systems,support
1997,368,EUROPEAN UNION,called for,satisfactory replenishment of GEF resources,support
1997,369,USA,noted,,other
1997,372,G-77/CHINA,expressed concern about,the late addition of the new proposal,opposition
1997,373,MALAYSIA,offered a similar proposal,a similar proposal,support
1997,377,EUROPEAN UNION,supported,the paragraph,support
1997,377,USA,supported,the paragraph,support
1997,378,EUROPEAN UNION,calls for the urgent fulfillment of all financial commitments [and objectives],all financial commitments [and objectives] of Agenda 21,support
